ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
secret identity,good characters,blue eyes,black hair,male characters,living characters,3093.0,1939.0,good,dark,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,2496.0,1986.0,good,dark,light,male,living
secret identity,good characters,brown eyes,brown hair,male characters,living characters,1565.0,1959.0,good,dark,dark,male,living
public identity,good characters,brown eyes,white hair,male characters,living characters,1316.0,1987.0,good,light,dark,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,1237.0,1940.0,good,dark,light,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,1231.0,1941.0,good,dark,light,female,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,1121.0,1941.0,good,light,light,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,1095.0,1989.0,good,dark,light,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,1075.0,1969.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,1028.0,1956.0,good,light,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,1028.0,1956.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,969.0,1940.0,good,light,light,male,deceased
secret identity,good characters,blue eyes,red hair,female characters,living characters,951.0,1967.0,good,dark,light,female,living
public identity,good characters,blue eyes,brown hair,male characters,living characters,951.0,1940.0,good,dark,light,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,934.0,1938.0,good,dark,light,female,living
public identity,good characters,blue eyes,black hair,male characters,living characters,930.0,1943.0,good,dark,light,male,living
secret identity,good characters,blue eyes,brown hair,male characters,living characters,803.0,1940.0,good,dark,light,male,living
secret identity,good characters,green eyes,black hair,male characters,living characters,716.0,1994.0,good,dark,light,male,living
public identity,good characters,brown eyes,unknown,male characters,living characters,706.0,1961.0,good,unknown,dark,male,living
public identity,bad characters,green eyes,unknown,male characters,living characters,677.0,1986.0,bad,unknown,light,male,living
secret identity,neutral characters,green eyes,red hair,male characters,living characters,654.0,1941.0,neutral,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,635.0,1976.0,good,light,light,female,living
secret identity,unknown,blue eyes,black hair,male characters,living characters,605.0,1942.0,unknown,dark,light,male,living
public identity,good characters,green eyes,green hair,male characters,living characters,595.0,1965.0,good,light,light,male,living
public identity,good characters,blue eyes,red hair,male characters,living characters,593.0,1968.0,good,dark,light,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,584.0,1980.0,good,dark,dark,male,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,560.0,1993.0,good,dark,light,male,living
public identity,unknown,blue eyes,red hair,male characters,deceased characters,558.0,1960.0,unknown,dark,light,male,deceased
public identity,good characters,green eyes,red hair,male characters,living characters,557.0,1986.0,good,dark,light,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,549.0,1971.0,good,dark,dark,male,living
secret identity,bad characters,green eyes,green hair,male characters,living characters,517.0,1940.0,bad,light,light,male,living
public identity,good characters,blue eyes,unknown,male characters,living characters,492.0,1959.0,good,unknown,light,male,living
public identity,good characters,purple eyes,black hair,male characters,deceased characters,487.0,1960.0,good,dark,light,male,deceased
secret identity,unknown,black eyes,unknown,male characters,living characters,470.0,1965.0,unknown,unknown,dark,male,living
public identity,good characters,blue eyes,black hair,female characters,living characters,439.0,1964.0,good,dark,light,female,living
secret identity,unknown,white eyes,unknown,male characters,living characters,436.0,1940.0,unknown,unknown,light,male,living
secret identity,unknown,blue eyes,brown hair,male characters,deceased characters,429.0,1986.0,unknown,dark,light,male,deceased
public identity,good characters,blue eyes,blond hair,male characters,living characters,427.0,1986.0,good,light,light,male,living
public identity,good characters,blue eyes,blond hair,female characters,living characters,423.0,1996.0,good,light,light,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,422.0,1940.0,good,light,light,male,deceased
public identity,good characters,brown eyes,black hair,male characters,living characters,413.0,1974.0,good,dark,dark,male,living
secret identity,good characters,purple eyes,black hair,female characters,living characters,399.0,1980.0,good,dark,light,female,living
secret identity,good characters,blue eyes,black hair,female characters,living characters,393.0,1989.0,good,dark,light,female,living
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,391.0,1939.0,good,dark,dark,male,deceased
public identity,bad characters,red eyes,unknown,male characters,deceased characters,388.0,1970.0,bad,unknown,others,male,deceased
secret identity,good characters,blue eyes,white hair,male characters,living characters,386.0,1987.0,good,light,light,male,living
secret identity,good characters,blue eyes,unknown,male characters,living characters,386.0,1978.0,good,unknown,light,male,living
secret identity,good characters,green eyes,unknown,male characters,living characters,374.0,1968.0,good,unknown,light,male,living
public identity,good characters,blue eyes,blond hair,male characters,living characters,371.0,1984.0,good,light,light,male,living
secret identity,good characters,blue eyes,red hair,male characters,deceased characters,370.0,1940.0,good,dark,light,male,deceased
secret identity,unknown,blue eyes,blond hair,male characters,deceased characters,361.0,1941.0,unknown,light,light,male,deceased
secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,356.0,1941.0,good,dark,dark,male,deceased
public identity,neutral characters,red eyes,black hair,male characters,living characters,353.0,1983.0,neutral,dark,others,male,living
public identity,unknown,blue eyes,brown hair,male characters,living characters,350.0,1986.0,unknown,dark,light,male,living
public identity,good characters,brown eyes,unknown,male characters,living characters,345.0,1993.0,good,unknown,dark,male,living
secret identity,good characters,brown eyes,unknown,male characters,living characters,344.0,1977.0,good,unknown,dark,male,living
secret identity,neutral characters,blue eyes,white hair,male characters,living characters,336.0,1980.0,neutral,light,light,male,living
secret identity,unknown,black eyes,black hair,male characters,living characters,335.0,1952.0,unknown,dark,dark,male,living
secret identity,good characters,green eyes,green hair,female characters,living characters,325.0,1982.0,good,light,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,321.0,1940.0,good,dark,light,male,living
public identity,neutral characters,blue eyes,black hair,female characters,living characters,319.0,1959.0,neutral,dark,light,female,living
public identity,unknown,photocellular eyes,unknown,male characters,living characters,314.0,1963.0,unknown,unknown,others,male,living
public identity,neutral characters,red eyes,unknown,male characters,living characters,311.0,1972.0,neutral,unknown,others,male,living
secret identity,good characters,green eyes,green hair,female characters,living characters,309.0,1983.0,good,light,light,female,living
public identity,good characters,red eyes,unknown,male characters,living characters,309.0,1972.0,good,unknown,others,male,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,308.0,1992.0,good,dark,dark,female,living
public identity,bad characters,blue eyes,brown hair,male characters,living characters,306.0,1942.0,bad,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,305.0,1999.0,good,light,light,female,living
secret identity,good characters,hazel eyes,brown hair,female characters,deceased characters,301.0,1999.0,good,dark,light,female,deceased
secret identity,unknown,brown eyes,black hair,male characters,living characters,300.0,1997.0,unknown,dark,dark,male,living
public identity,good characters,red eyes,unknown,male characters,living characters,299.0,1986.0,good,unknown,others,male,living
secret identity,good characters,blue eyes,blond hair,female characters,living characters,297.0,2004.0,good,light,light,female,living
public identity,good characters,blue eyes,blond hair,male characters,deceased characters,291.0,1972.0,good,light,light,male,deceased
secret identity,good characters,blue eyes,brown hair,male characters,living characters,288.0,1940.0,good,dark,light,male,living
secret identity,neutral characters,green eyes,red hair,female characters,living characters,286.0,1966.0,neutral,dark,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,284.0,1999.0,good,dark,light,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,282.0,1940.0,good,light,light,male,living
secret identity,good characters,amber eyes,brown hair,female characters,living characters,268.0,1981.0,good,dark,light,female,living
secret identity,good characters,blue eyes,black hair,male characters,living characters,268.0,1971.0,good,dark,light,male,living
public identity,good characters,blue eyes,white hair,female characters,living characters,266.0,1986.0,good,light,light,female,living
secret identity,good characters,blue eyes,unknown,male characters,deceased characters,262.0,1967.0,good,unknown,light,male,deceased
public identity,unknown,brown eyes,brown hair,male characters,deceased characters,261.0,1942.0,unknown,dark,dark,male,deceased
secret identity,good characters,blue eyes,black hair,male characters,deceased characters,256.0,1938.0,good,dark,light,male,deceased
public identity,good characters,blue eyes,white hair,male characters,deceased characters,254.0,1986.0,good,light,light,male,deceased
public identity,unknown,blue eyes,black hair,male characters,living characters,253.0,1941.0,unknown,dark,light,male,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,252.0,1983.0,good,dark,dark,female,living
